,Baseline,LSTM,GRU,Bidirectional  LSTM,Bidirectional  GRU
accuracy,96.66666666666667,86.66666666666667,90.0,90.0,96.66666666666667
precision,0.9694444444444444,0.8843915343915344,0.9214285714285714,0.9214285714285714,0.9696969696969696
recall,0.9666666666666667,0.8666666666666667,0.9,0.9,0.9666666666666667
f1,0.9664109121909632,0.8658684210526316,0.896,0.9009561403508771,0.9664799253034547
